"time_series_id","registered_resource_eic_code","bm_unit_id","ngc_bm_unit_id","psr_type","market_generation_unit_eic_code","market_generation_bm_unit_id","market_generation_ngc_bm_unit_id","settlement_date","settlement_period","quantity"
"ELX-EMFIP-AGOG-TS-219","48W00000GLOFW-15","E_GLOFW-1","GLOFW-1","Generation","48W00000GLOFW-15","E_GLOFW-1","GLOFW-1","2022-01-01",1,"1.202"
"ELX-EMFIP-AGOG-TS-326","48W000000EAAO-1R","T_EAAO-1","EAAO-1","Generation","48W000000EAAO-1R","T_EAAO-1","EAAO-1","2022-01-01",1,"149.06"
"ELX-EMFIP-AGOG-TS-334","48W0000000FASN25","T_FASN-2","FASN2","Generation","48W0000000FASN25","T_FASN-2","FASN2","2022-01-01",1,"7.182"
"ELX-EMFIP-AGOG-TS-327","48W000000EAAO-2P","T_EAAO-2","EAAO-2","Generation","48W000000EAAO-2P","T_EAAO-2","EAAO-2","2022-01-01",1,"149.208"
"ELX-EMFIP-AGOG-TS-331","48W00000FAARW-13","T_FARR-1","FAARW-1","Generation","48W00000FAARW-13","T_FARR-1","FAARW-1","2022-01-01",1,"26.03"
"ELX-EMFIP-AGOG-TS-392","48W000000MOWEO11","T_MOWEO-1","MOWEO-1","Generation","48W000000MOWEO11","T_MOWEO-1","MOWEO-1","2022-01-01",1,"157.23"
"ELX-EMFIP-AGOG-TS-332","48W00000FAARW-21","T_FARR-2","FAARW-2","Generation","48W00000FAARW-21","T_FARR-2","FAARW-2","2022-01-01",1,"26.824"
"ELX-EMFIP-AGOG-TS-393","48W00000MOWEO-2Y","T_MOWEO-2","MOWEO-2","Generation","48W00000MOWEO-2Y","T_MOWEO-2","MOWEO-2","2022-01-01",1,"32.104"
"ELX-EMFIP-AGOG-TS-357","48W00000HADHW-1J","T_HADHW-1","HADHW-1","Generation","48W00000HADHW-1J","T_HADHW-1","HADHW-1","2022-01-01",1,"95.44"
"ELX-EMFIP-AGOG-TS-394","48W00000MOWEO-3W","T_MOWEO-3","MOWEO-3","Generation","48W00000MOWEO-3W","T_MOWEO-3","MOWEO-3","2022-01-01",1,"176.13"
"ELX-EMFIP-AGOG-TS-197","48W00000BETHW-1H","E_BETHW-1","BETHW-1","Generation","48W00000BETHW-1H","E_BETHW-1","BETHW-1","2022-01-01",1,"1.988"
"ELX-EMFIP-AGOG-TS-213","48W000000FASN-42","E_FASN-4","FASN-4","Generation","48W000000FASN-42","E_FASN-4","FASN-4","2022-01-01",1,"7.988"
"ELX-EMFIP-AGOG-TS-201","48W00000BRDUW-1V","E_BRDUW-1","BRDUW-1","Generation","48W00000BRDUW-1V","E_BRDUW-1","BRDUW-1","2022-01-01",1,"27.736"
"ELX-EMFIP-AGOG-TS-205","48W00000BURBW-1L","E_BURBO","BURBW-1","Generation","48W00000BURBW-1L","E_BURBO","BURBW-1","2022-01-01",1,"29.892"
"ELX-EMFIP-AGOG-TS-434","48W00000WHILW-1M","T_WHILW-1","WHILW-1","Generation","48W00000WHILW-1M","T_WHILW-1","WHILW-1","2022-01-01",1,"106.626"
"ELX-EMFIP-AGOG-TS-376","48W00000KILBW-1W","T_KILBW-1","KILBW-1","Generation","48W00000KILBW-1W","T_KILBW-1","KILBW-1","2022-01-01",1,"21.85"
